date,year,month,day,quarter,day_of_week,is_weekend,time_id
2020-11-10 07:59:29.070,2020,11,10,4,1,False,314
2020-11-11 07:59:29.070,2020,11,11,4,2,False,315
2020-11-12 07:59:29.070,2020,11,12,4,3,False,316
2020-11-13 07:59:29.070,2020,11,13,4,4,False,317
2020-11-14 07:59:29.070,2020,11,14,4,5,True,318
2020-11-15 07:59:29.070,2020,11,15,4,6,True,319
2020-11-16 07:59:29.070,2020,11,16,4,0,False,320
2020-11-17 07:59:29.070,2020,11,17,4,1,False,321
2020-11-18 07:59:29.070,2020,11,18,4,2,False,322
2020-11-19 07:59:29.070,2020,11,19,4,3,False,323
2020-11-20 07:59:29.070,2020,11,20,4,4,False,324
2020-11-21 07:59:29.070,2020,11,21,4,5,True,325
2020-11-22 07:59:29.070,2020,11,22,4,6,True,326
2020-11-23 07:59:29.070,2020,11,23,4,0,False,327
2020-11-24 07:59:29.070,2020,11,24,4,1,False,328
2020-11-25 07:59:29.070,2020,11,25,4,2,False,329
2020-11-26 07:59:29.070,2020,11,26,4,3,False,330
2020-11-27 07:59:29.070,2020,11,27,4,4,False,331
2020-11-28 07:59:29.070,2020,11,28,4,5,True,332
2020-11-29 07:59:29.070,2020,11,29,4,6,True,333
2020-11-30 07:59:29.070,2020,11,30,4,0,False,334
2020-12-01 07:59:29.070,2020,12,1,4,1,False,335
2020-12-02 07:59:29.070,2020,12,2,4,2,False,336
2020-12-03 07:59:29.070,2020,12,3,4,3,False,337
2020-12-04 07:59:29.070,2020,12,4,4,4,False,338
2020-12-05 07:59:29.070,2020,12,5,4,5,True,339
2020-12-06 07:59:29.070,2020,12,6,4,6,True,340
2020-12-07 07:59:29.070,2020,12,7,4,0,False,341
2020-12-08 07:59:29.070,2020,12,8,4,1,False,342
2020-12-09 07:59:29.070,2020,12,9,4,2,False,343
2020-12-10 07:59:29.070,2020,12,10,4,3,False,344
2020-12-11 07:59:29.070,2020,12,11,4,4,False,345
2020-12-12 07:59:29.070,2020,12,12,4,5,True,346
2020-12-13 07:59:29.070,2020,12,13,4,6,True,347
2020-12-14 07:59:29.070,2020,12,14,4,0,False,348
2020-12-15 07:59:29.070,2020,12,15,4,1,False,349
2020-12-16 07:59:29.070,2020,12,16,4,2,False,350
2020-12-17 07:59:29.070,2020,12,17,4,3,False,351
2020-12-18 07:59:29.070,2020,12,18,4,4,False,352
2020-12-19 07:59:29.070,2020,12,19,4,5,True,353
2020-12-20 07:59:29.070,2020,12,20,4,6,True,354
2020-12-21 07:59:29.070,2020,12,21,4,0,False,355
2020-12-22 07:59:29.070,2020,12,22,4,1,False,356
2020-12-23 07:59:29.070,2020,12,23,4,2,False,357
2020-12-24 07:59:29.070,2020,12,24,4,3,False,358
2020-12-25 07:59:29.070,2020,12,25,4,4,False,359
2020-12-26 07:59:29.070,2020,12,26,4,5,True,360
2020-12-27 07:59:29.070,2020,12,27,4,6,True,361
2020-12-28 07:59:29.070,2020,12,28,4,0,False,362
2020-12-29 07:59:29.070,2020,12,29,4,1,False,363
2020-12-30 07:59:29.070,2020,12,30,4,2,False,364
2020-12-31 07:59:29.070,2020,12,31,4,3,False,365
2021-01-01 07:59:29.070,2021,1,1,1,4,False,366
2021-01-02 07:59:29.070,2021,1,2,1,5,True,367
2021-01-03 07:59:29.070,2021,1,3,1,6,True,368
2021-01-04 07:59:29.070,2021,1,4,1,0,False,369
2021-01-05 07:59:29.070,2021,1,5,1,1,False,370
2021-01-06 07:59:29.070,2021,1,6,1,2,False,371
2021-01-07 07:59:29.070,2021,1,7,1,3,False,372
2021-01-08 07:59:29.070,2021,1,8,1,4,False,373
2021-01-09 07:59:29.070,2021,1,9,1,5,True,374
2021-01-10 07:59:29.070,2021,1,10,1,6,True,375
2021-01-11 07:59:29.070,2021,1,11,1,0,False,376
2021-01-12 07:59:29.070,2021,1,12,1,1,False,377
2021-01-13 07:59:29.070,2021,1,13,1,2,False,378
2021-01-14 07:59:29.070,2021,1,14,1,3,False,379
2021-01-15 07:59:29.070,2021,1,15,1,4,False,380
2021-01-16 07:59:29.070,2021,1,16,1,5,True,381
2021-01-17 07:59:29.070,2021,1,17,1,6,True,382
2021-01-18 07:59:29.070,2021,1,18,1,0,False,383
2021-01-19 07:59:29.070,2021,1,19,1,1,False,384
2021-01-20 07:59:29.070,2021,1,20,1,2,False,385
2021-01-21 07:59:29.070,2021,1,21,1,3,False,386
2021-01-22 07:59:29.070,2021,1,22,1,4,False,387
2021-01-23 07:59:29.070,2021,1,23,1,5,True,388
2021-01-24 07:59:29.070,2021,1,24,1,6,True,389
2021-01-25 07:59:29.070,2021,1,25,1,0,False,390
2021-01-26 07:59:29.070,2021,1,26,1,1,False,391
2021-01-27 07:59:29.070,2021,1,27,1,2,False,392
2021-01-28 07:59:29.070,2021,1,28,1,3,False,393
2021-01-29 07:59:29.070,2021,1,29,1,4,False,394
2021-01-30 07:59:29.070,2021,1,30,1,5,True,395
2021-01-31 07:59:29.070,2021,1,31,1,6,True,396
2021-02-01 07:59:29.070,2021,2,1,1,0,False,397
2021-02-02 07:59:29.070,2021,2,2,1,1,False,398
2021-02-03 07:59:29.070,2021,2,3,1,2,False,399
2021-02-04 07:59:29.070,2021,2,4,1,3,False,400
2021-02-05 07:59:29.070,2021,2,5,1,4,False,401
2021-02-06 07:59:29.070,2021,2,6,1,5,True,402
2021-02-07 07:59:29.070,2021,2,7,1,6,True,403
2021-02-08 07:59:29.070,2021,2,8,1,0,False,404
2021-02-09 07:59:29.070,2021,2,9,1,1,False,405
2021-02-10 07:59:29.070,2021,2,10,1,2,False,406
2021-02-11 07:59:29.070,2021,2,11,1,3,False,407
2021-02-12 07:59:29.070,2021,2,12,1,4,False,408
2021-02-13 07:59:29.070,2021,2,13,1,5,True,409
2021-02-14 07:59:29.070,2021,2,14,1,6,True,410
2021-02-15 07:59:29.070,2021,2,15,1,0,False,411
2021-02-16 07:59:29.070,2021,2,16,1,1,False,412
2021-02-17 07:59:29.070,2021,2,17,1,2,False,413
2021-02-18 07:59:29.070,2021,2,18,1,3,False,414
2021-02-19 07:59:29.070,2021,2,19,1,4,False,415
2021-02-20 07:59:29.070,2021,2,20,1,5,True,416
2021-02-21 07:59:29.070,2021,2,21,1,6,True,417
2021-02-22 07:59:29.070,2021,2,22,1,0,False,418
2021-02-23 07:59:29.070,2021,2,23,1,1,False,419
2021-02-24 07:59:29.070,2021,2,24,1,2,False,420
2021-02-25 07:59:29.070,2021,2,25,1,3,False,421
2021-02-26 07:59:29.070,2021,2,26,1,4,False,422
2021-02-27 07:59:29.070,2021,2,27,1,5,True,423
2021-02-28 07:59:29.070,2021,2,28,1,6,True,424
2021-03-01 07:59:29.070,2021,3,1,1,0,False,425
2021-03-02 07:59:29.070,2021,3,2,1,1,False,426
2021-03-03 07:59:29.070,2021,3,3,1,2,False,427
2021-03-04 07:59:29.070,2021,3,4,1,3,False,428
2021-03-05 07:59:29.070,2021,3,5,1,4,False,429
2021-03-06 07:59:29.070,2021,3,6,1,5,True,430
2021-03-07 07:59:29.070,2021,3,7,1,6,True,431
2021-03-08 07:59:29.070,2021,3,8,1,0,False,432
2021-03-09 07:59:29.070,2021,3,9,1,1,False,433
2021-03-10 07:59:29.070,2021,3,10,1,2,False,434
2021-03-11 07:59:29.070,2021,3,11,1,3,False,435
2021-03-12 07:59:29.070,2021,3,12,1,4,False,436
2021-03-13 07:59:29.070,2021,3,13,1,5,True,437
2021-03-14 07:59:29.070,2021,3,14,1,6,True,438
2021-03-15 07:59:29.070,2021,3,15,1,0,False,439
2021-03-16 07:59:29.070,2021,3,16,1,1,False,440
2021-03-17 07:59:29.070,2021,3,17,1,2,False,441
2021-03-18 07:59:29.070,2021,3,18,1,3,False,442
2021-03-19 07:59:29.070,2021,3,19,1,4,False,443
2021-03-20 07:59:29.070,2021,3,20,1,5,True,444
2021-03-21 07:59:29.070,2021,3,21,1,6,True,445
2021-03-22 07:59:29.070,2021,3,22,1,0,False,446
2021-03-23 07:59:29.070,2021,3,23,1,1,False,447
2021-03-24 07:59:29.070,2021,3,24,1,2,False,448
2021-03-25 07:59:29.070,2021,3,25,1,3,False,449
2021-03-26 07:59:29.070,2021,3,26,1,4,False,450
2021-03-27 07:59:29.070,2021,3,27,1,5,True,451
2021-03-28 07:59:29.070,2021,3,28,1,6,True,452
2021-03-29 07:59:29.070,2021,3,29,1,0,False,453
2021-03-30 07:59:29.070,2021,3,30,1,1,False,454
2021-03-31 07:59:29.070,2021,3,31,1,2,False,455
2021-04-01 07:59:29.070,2021,4,1,2,3,False,456
2021-04-02 07:59:29.070,2021,4,2,2,4,False,457
2021-04-03 07:59:29.070,2021,4,3,2,5,True,458
2021-04-04 07:59:29.070,2021,4,4,2,6,True,459
2021-04-05 07:59:29.070,2021,4,5,2,0,False,460
2021-04-06 07:59:29.070,2021,4,6,2,1,False,461
2021-04-07 07:59:29.070,2021,4,7,2,2,False,462
